CalendarKey,Date,DayOfMonth,Month,MonthLong,MonthName,MonthNr,YearMonth,MonthStart,MonthEnd,Quarter,QuarterName,QuarterNr,Year,IsoWeek,IsoYear,YearWeek,DayOfWeek,DayNameLong,DayNameShort,CurrentMonth,CurrentWeek,HolidayBE,HolidayDE,HolidayES,HolidayFR,HolidayNL,Weekend
20150226,2015-02-26,26,2015 Feb,2015 February,Feb,2,201502,2015-02-01,2015-02-28,2015 Q1,Q1,1,2015,9,2015,201509,4,Thursday,Thu,2015 Feb,9 - 2015,0,0,0,0,0,Weekday
20150227,2015-02-27,27,2015 Feb,2015 February,Feb,2,201502,2015-02-01,2015-02-28,2015 Q1,Q1,1,2015,9,2015,201509,5,Friday,Fri,2015 Feb,9 - 2015,0,0,0,0,0,Weekday
20150228,2015-02-28,28,2015 Feb,2015 February,Feb,2,201502,2015-02-01,2015-02-28,2015 Q1,Q1,1,2015,9,2015,201509,6,Saturday,Sat,2015 Feb,9 - 2015,0,0,0,0,0,Weekend
20150301,2015-03-01,1,2015 Mar,2015 March,Mar,3,201503,2015-03-01,2015-03-31,2015 Q1,Q1,1,2015,9,2015,201509,7,Sunday,Sun,2015 Mar,9 - 2015,0,0,0,0,0,Weekend
20150302,2015-03-02,2,2015 Mar,2015 March,Mar,3,201503,2015-03-01,2015-03-31,2015 Q1,Q1,1,2015,10,2015,201510,1,Monday,Mon,2015 Mar,10 - 2015,0,0,0,0,0,Weekday
20150303,2015-03-03,3,2015 Mar,2015 March,Mar,3,201503,2015-03-01,2015-03-31,2015 Q1,Q1,1,2015,10,2015,201510,2,Tuesday,Tue,2015 Mar,10 - 2015,0,0,0,0,0,Weekday
20150304,2015-03-04,4,2015 Mar,2015 March,Mar,3,201503,2015-03-01,2015-03-31,2015 Q1,Q1,1,2015,10,2015,201510,3,Wednesday,Wed,2015 Mar,10 - 2015,0,0,0,0,0,Weekday
20150305,2015-03-05,5,2015 Mar,2015 March,Mar,3,201503,2015-03-01,2015-03-31,2015 Q1,Q1,1,2015,10,2015,201510,4,Thursday,Thu,2015 Mar,10 - 2015,0,0,0,0,0,Weekday
20150306,2015-03-06,6,2015 Mar,2015 March,Mar,3,201503,2015-03-01,2015-03-31,2015 Q1,Q1,1,2015,10,2015,201510,5,Friday,Fri,2015 Mar,10 - 2015,0,0,0,0,0,Weekday
20150307,2015-03-07,7,2015 Mar,2015 March,Mar,3,201503,2015-03-01,2015-03-31,2015 Q1,Q1,1,2015,10,2015,201510,6,Saturday,Sat,2015 Mar,10 - 2015,0,0,0,0,0,Weekend
20150308,2015-03-08,8,2015 Mar,2015 March,Mar,3,201503,2015-03-01,2015-03-31,2015 Q1,Q1,1,2015,10,2015,201510,7,Sunday,Sun,2015 Mar,10 - 2015,0,0,0,0,0,Weekend
20150309,2015-03-09,9,2015 Mar,2015 March,Mar,3,201503,2015-03-01,2015-03-31,2015 Q1,Q1,1,2015,11,2015,201511,1,Monday,Mon,2015 Mar,11 - 2015,0,0,0,0,0,Weekday
20150310,2015-03-10,10,2015 Mar,2015 March,Mar,3,201503,2015-03-01,2015-03-31,2015 Q1,Q1,1,2015,11,2015,201511,2,Tuesday,Tue,2015 Mar,11 - 2015,0,0,0,0,0,Weekday
20150311,2015-03-11,11,2015 Mar,2015 March,Mar,3,201503,2015-03-01,2015-03-31,2015 Q1,Q1,1,2015,11,2015,201511,3,Wednesday,Wed,2015 Mar,11 - 2015,0,0,0,0,0,Weekday
20150312,2015-03-12,12,2015 Mar,2015 March,Mar,3,201503,2015-03-01,2015-03-31,2015 Q1,Q1,1,2015,11,2015,201511,4,Thursday,Thu,2015 Mar,11 - 2015,0,0,0,0,0,Weekday
20150313,2015-03-13,13,2015 Mar,2015 March,Mar,3,201503,2015-03-01,2015-03-31,2015 Q1,Q1,1,2015,11,2015,201511,5,Friday,Fri,2015 Mar,11 - 2015,0,0,0,0,0,Weekday
20150314,2015-03-14,14,2015 Mar,2015 March,Mar,3,201503,2015-03-01,2015-03-31,2015 Q1,Q1,1,2015,11,2015,201511,6,Saturday,Sat,2015 Mar,11 - 2015,0,0,0,0,0,Weekend
20150315,2015-03-15,15,2015 Mar,2015 March,Mar,3,201503,2015-03-01,2015-03-31,2015 Q1,Q1,1,2015,11,2015,201511,7,Sunday,Sun,2015 Mar,11 - 2015,0,0,0,0,0,Weekend
20150316,2015-03-16,16,2015 Mar,2015 March,Mar,3,201503,2015-03-01,2015-03-31,2015 Q1,Q1,1,2015,12,2015,201512,1,Monday,Mon,2015 Mar,12 - 2015,0,0,0,0,0,Weekday
20150317,2015-03-17,17,2015 Mar,2015 March,Mar,3,201503,2015-03-01,2015-03-31,2015 Q1,Q1,1,2015,12,2015,201512,2,Tuesday,Tue,2015 Mar,12 - 2015,0,0,0,0,0,Weekday
20150318,2015-03-18,18,2015 Mar,2015 March,Mar,3,201503,2015-03-01,2015-03-31,2015 Q1,Q1,1,2015,12,2015,201512,3,Wednesday,Wed,2015 Mar,12 - 2015,0,0,0,0,0,Weekday
20150319,2015-03-19,19,2015 Mar,2015 March,Mar,3,201503,2015-03-01,2015-03-31,2015 Q1,Q1,1,2015,12,2015,201512,4,Thursday,Thu,2015 Mar,12 - 2015,0,0,0,0,0,Weekday
20150320,2015-03-20,20,2015 Mar,2015 March,Mar,3,201503,2015-03-01,2015-03-31,2015 Q1,Q1,1,2015,12,2015,201512,5,Friday,Fri,2015 Mar,12 - 2015,0,0,0,0,0,Weekday
20150321,2015-03-21,21,2015 Mar,2015 March,Mar,3,201503,2015-03-01,2015-03-31,2015 Q1,Q1,1,2015,12,2015,201512,6,Saturday,Sat,2015 Mar,12 - 2015,0,0,0,0,0,Weekend
20150322,2015-03-22,22,2015 Mar,2015 March,Mar,3,201503,2015-03-01,2015-03-31,2015 Q1,Q1,1,2015,12,2015,201512,7,Sunday,Sun,2015 Mar,12 - 2015,0,0,0,0,0,Weekend
20150323,2015-03-23,23,2015 Mar,2015 March,Mar,3,201503,2015-03-01,2015-03-31,2015 Q1,Q1,1,2015,13,2015,201513,1,Monday,Mon,2015 Mar,13 - 2015,0,0,0,0,0,Weekday
20150324,2015-03-24,24,2015 Mar,2015 March,Mar,3,201503,2015-03-01,2015-03-31,2015 Q1,Q1,1,2015,13,2015,201513,2,Tuesday,Tue,2015 Mar,13 - 2015,0,0,0,0,0,Weekday
20150325,2015-03-25,25,2015 Mar,2015 March,Mar,3,201503,2015-03-01,2015-03-31,2015 Q1,Q1,1,2015,13,2015,201513,3,Wednesday,Wed,2015 Mar,13 - 2015,0,0,0,0,0,Weekday
20150326,2015-03-26,26,2015 Mar,2015 March,Mar,3,201503,2015-03-01,2015-03-31,2015 Q1,Q1,1,2015,13,2015,201513,4,Thursday,Thu,2015 Mar,13 - 2015,0,0,0,0,0,Weekday
20150327,2015-03-27,27,2015 Mar,2015 March,Mar,3,201503,2015-03-01,2015-03-31,2015 Q1,Q1,1,2015,13,2015,201513,5,Friday,Fri,2015 Mar,13 - 2015,0,0,0,0,0,Weekday
20150328,2015-03-28,28,2015 Mar,2015 March,Mar,3,201503,2015-03-01,2015-03-31,2015 Q1,Q1,1,2015,13,2015,201513,6,Saturday,Sat,2015 Mar,13 - 2015,0,0,0,0,0,Weekend
20150329,2015-03-29,29,2015 Mar,2015 March,Mar,3,201503,2015-03-01,2015-03-31,2015 Q1,Q1,1,2015,13,2015,201513,7,Sunday,Sun,2015 Mar,13 - 2015,0,0,0,0,0,Weekend
20150330,2015-03-30,30,2015 Mar,2015 March,Mar,3,201503,2015-03-01,2015-03-31,2015 Q1,Q1,1,2015,14,2015,201514,1,Monday,Mon,2015 Mar,14 - 2015,0,0,0,0,0,Weekday
20150331,2015-03-31,31,2015 Mar,2015 March,Mar,3,201503,2015-03-01,2015-03-31,2015 Q1,Q1,1,2015,14,2015,201514,2,Tuesday,Tue,2015 Mar,14 - 2015,0,0,0,0,0,Weekday
20150401,2015-04-01,1,2015 Apr,2015 April,Apr,4,201504,2015-04-01,2015-04-30,2015 Q2,Q2,2,2015,14,2015,201514,3,Wednesday,Wed,2015 Apr,14 - 2015,0,0,0,0,0,Weekday
20150402,2015-04-02,2,2015 Apr,2015 April,Apr,4,201504,2015-04-01,2015-04-30,2015 Q2,Q2,2,2015,14,2015,201514,4,Thursday,Thu,2015 Apr,14 - 2015,0,0,0,0,0,Weekday
20150403,2015-04-03,3,2015 Apr,2015 April,Apr,4,201504,2015-04-01,2015-04-30,2015 Q2,Q2,2,2015,14,2015,201514,5,Friday,Fri,2015 Apr,14 - 2015,0,1,0,0,1,Weekday
20150404,2015-04-04,4,2015 Apr,2015 April,Apr,4,201504,2015-04-01,2015-04-30,2015 Q2,Q2,2,2015,14,2015,201514,6,Saturday,Sat,2015 Apr,14 - 2015,0,0,0,0,0,Weekend
20150405,2015-04-05,5,2015 Apr,2015 April,Apr,4,201504,2015-04-01,2015-04-30,2015 Q2,Q2,2,2015,14,2015,201514,7,Sunday,Sun,2015 Apr,14 - 2015,1,0,0,0,1,Weekend
20150406,2015-04-06,6,2015 Apr,2015 April,Apr,4,201504,2015-04-01,2015-04-30,2015 Q2,Q2,2,2015,15,2015,201515,1,Monday,Mon,2015 Apr,15 - 2015,1,1,0,1,1,Weekday
20150407,2015-04-07,7,2015 Apr,2015 April,Apr,4,201504,2015-04-01,2015-04-30,2015 Q2,Q2,2,2015,15,2015,201515,2,Tuesday,Tue,2015 Apr,15 - 2015,0,0,0,0,0,Weekday
20150408,2015-04-08,8,2015 Apr,2015 April,Apr,4,201504,2015-04-01,2015-04-30,2015 Q2,Q2,2,2015,15,2015,201515,3,Wednesday,Wed,2015 Apr,15 - 2015,0,0,0,0,0,Weekday
20150409,2015-04-09,9,2015 Apr,2015 April,Apr,4,201504,2015-04-01,2015-04-30,2015 Q2,Q2,2,2015,15,2015,201515,4,Thursday,Thu,2015 Apr,15 - 2015,0,0,0,0,0,Weekday
20150410,2015-04-10,10,2015 Apr,2015 April,Apr,4,201504,2015-04-01,2015-04-30,2015 Q2,Q2,2,2015,15,2015,201515,5,Friday,Fri,2015 Apr,15 - 2015,0,0,0,0,0,Weekday
20150411,2015-04-11,11,2015 Apr,2015 April,Apr,4,201504,2015-04-01,2015-04-30,2015 Q2,Q2,2,2015,15,2015,201515,6,Saturday,Sat,2015 Apr,15 - 2015,0,0,0,0,0,Weekend
20150412,2015-04-12,12,2015 Apr,2015 April,Apr,4,201504,2015-04-01,2015-04-30,2015 Q2,Q2,2,2015,15,2015,201515,7,Sunday,Sun,2015 Apr,15 - 2015,0,0,0,0,0,Weekend
20150413,2015-04-13,13,2015 Apr,2015 April,Apr,4,201504,2015-04-01,2015-04-30,2015 Q2,Q2,2,2015,16,2015,201516,1,Monday,Mon,2015 Apr,16 - 2015,0,0,0,0,0,Weekday
20150414,2015-04-14,14,2015 Apr,2015 April,Apr,4,201504,2015-04-01,2015-04-30,2015 Q2,Q2,2,2015,16,2015,201516,2,Tuesday,Tue,2015 Apr,16 - 2015,0,0,0,0,0,Weekday
20150415,2015-04-15,15,2015 Apr,2015 April,Apr,4,201504,2015-04-01,2015-04-30,2015 Q2,Q2,2,2015,16,2015,201516,3,Wednesday,Wed,2015 Apr,16 - 2015,0,0,0,0,0,Weekday
20150416,2015-04-16,16,2015 Apr,2015 April,Apr,4,201504,2015-04-01,2015-04-30,2015 Q2,Q2,2,2015,16,2015,201516,4,Thursday,Thu,2015 Apr,16 - 2015,0,0,0,0,0,Weekday
20150417,2015-04-17,17,2015 Apr,2015 April,Apr,4,201504,2015-04-01,2015-04-30,2015 Q2,Q2,2,2015,16,2015,201516,5,Friday,Fri,2015 Apr,16 - 2015,0,0,0,0,0,Weekday
20150418,2015-04-18,18,2015 Apr,2015 April,Apr,4,201504,2015-04-01,2015-04-30,2015 Q2,Q2,2,2015,16,2015,201516,6,Saturday,Sat,2015 Apr,16 - 2015,0,0,0,0,0,Weekend
20150419,2015-04-19,19,2015 Apr,2015 April,Apr,4,201504,2015-04-01,2015-04-30,2015 Q2,Q2,2,2015,16,2015,201516,7,Sunday,Sun,2015 Apr,16 - 2015,0,0,0,0,0,Weekend
20150420,2015-04-20,20,2015 Apr,2015 April,Apr,4,201504,2015-04-01,2015-04-30,2015 Q2,Q2,2,2015,17,2015,201517,1,Monday,Mon,2015 Apr,17 - 2015,0,0,0,0,0,Weekday
20150421,2015-04-21,21,2015 Apr,2015 April,Apr,4,201504,2015-04-01,2015-04-30,2015 Q2,Q2,2,2015,17,2015,201517,2,Tuesday,Tue,2015 Apr,17 - 2015,0,0,0,0,0,Weekday
20150422,2015-04-22,22,2015 Apr,2015 April,Apr,4,201504,2015-04-01,2015-04-30,2015 Q2,Q2,2,2015,17,2015,201517,3,Wednesday,Wed,2015 Apr,17 - 2015,0,0,0,0,0,Weekday
20150423,2015-04-23,23,2015 Apr,2015 April,Apr,4,201504,2015-04-01,2015-04-30,2015 Q2,Q2,2,2015,17,2015,201517,4,Thursday,Thu,2015 Apr,17 - 2015,0,0,0,0,0,Weekday
20150424,2015-04-24,24,2015 Apr,2015 April,Apr,4,201504,2015-04-01,2015-04-30,2015 Q2,Q2,2,2015,17,2015,201517,5,Friday,Fri,2015 Apr,17 - 2015,0,0,0,0,0,Weekday
20150425,2015-04-25,25,2015 Apr,2015 April,Apr,4,201504,2015-04-01,2015-04-30,2015 Q2,Q2,2,2015,17,2015,201517,6,Saturday,Sat,2015 Apr,17 - 2015,0,0,0,0,0,Weekend
20150426,2015-04-26,26,2015 Apr,2015 April,Apr,4,201504,2015-04-01,2015-04-30,2015 Q2,Q2,2,2015,17,2015,201517,7,Sunday,Sun,2015 Apr,17 - 2015,0,0,0,0,0,Weekend
20150427,2015-04-27,27,2015 Apr,2015 April,Apr,4,201504,2015-04-01,2015-04-30,2015 Q2,Q2,2,2015,18,2015,201518,1,Monday,Mon,2015 Apr,18 - 2015,0,0,0,0,1,Weekday
20150428,2015-04-28,28,2015 Apr,2015 April,Apr,4,201504,2015-04-01,2015-04-30,2015 Q2,Q2,2,2015,18,2015,201518,2,Tuesday,Tue,2015 Apr,18 - 2015,0,0,0,0,0,Weekday
20150429,2015-04-29,29,2015 Apr,2015 April,Apr,4,201504,2015-04-01,2015-04-30,2015 Q2,Q2,2,2015,18,2015,201518,3,Wednesday,Wed,2015 Apr,18 - 2015,0,0,0,0,0,Weekday
20150430,2015-04-30,30,2015 Apr,2015 April,Apr,4,201504,2015-04-01,2015-04-30,2015 Q2,Q2,2,2015,18,2015,201518,4,Thursday,Thu,2015 Apr,18 - 2015,0,0,0,0,0,Weekday
20150501,2015-05-01,1,2015 May,2015 May,May,5,201505,2015-05-01,2015-05-31,2015 Q2,Q2,2,2015,18,2015,201518,5,Friday,Fri,2015 May,18 - 2015,1,1,1,1,0,Weekday
20150502,2015-05-02,2,2015 May,2015 May,May,5,201505,2015-05-01,2015-05-31,2015 Q2,Q2,2,2015,18,2015,201518,6,Saturday,Sat,2015 May,18 - 2015,0,0,0,0,0,Weekend
